Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25 or younger,she/hers,White,Yes,Yes,No,Unsure,Less than 5 years,Less than 2 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Agree,Disagree,Disagree,Strongly agree,N/A,Agree,Strongly disagree,Neither agree nor disagree      ,Agree        ,N/A,N/A,N/A,N/A,N/A,Neither agree nor disagree      ,Agree        ,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Strongly agree,Strongly agree,Agree,Agree,N/A,Strongly agree,N/A,Agree        ,Agree        ,Agree        ,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,N/A,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
45-55,she/hers,White,Unsure,Unsure,Yes,Yes,15-20 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,I am open about my illness/disability with everyone",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,,,As I built a personal relationship with colleagues,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Neither agree nor disagree      ,Agree        ,N/A,N/A,N/A,N/A,Disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office","Upon receiving a diagnosis or beginning treatment,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Strongly agree        ,Strongly agree        ,Agree        ,Disagree        ,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
45-55,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,"Colleagues I work with regularly,My direct supervisor (if not library director)",,"Upon receiving a diagnosis or beginning treatment,As I built a personal relationship with colleagues",Other,,,,,No,,,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree        ,Agree        ,N/A,N/A,N/A,Strongly agree        ,Disagree        ,Disagree        ,Disagree        ,Agree,Agree,Agree,Disagree,N/A,Agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Strongly agree,N/A,N/A,N/A,N/A
45-55,he/his,White,Yes,Yes,No,Yes,5-10 years,5-10 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Library director ",,Once I began working,Once I began working,,Once I began working,,,Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).",Agree,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
45-55,she/hers,White,Yes,Yes,Yes,Unsure,20+ years,15-20 years,Colleagues I work with regularly,,When my illness/disability impacted my work,,,,,,No,,,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Disagree        ,Neither agree nor disagree      ,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,10-15 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree        ,Strongly agree        ,Agree        ,Strongly disagree        ,Neither agree nor disagree      ,N/A,N/A,Disagree        ,Strongly disagree        ,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,Disagree,Disagree,Disagree,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,No,No,5-10 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,"Once I began working,As I built a personal relationship with colleagues",Unsure,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree        ,Disagree        ,Agree        ,Disagree        ,Agree        ,Strongly agree        ,Agree        ,Disagree        ,Strongly disagree        ,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,N/A,N/A,N/A,N/A,Disagree,Strongly disagree,N/A,N/A,N/A,N/A
45-55,he/his,White,Yes,Yes,Yes,Yes,10-15 years,2-5 years,"Library director ,Human Resources/disability office",,,,,When my illness/disability impacted my work,When my illness/disability impacted my work,,No,,,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,N/A,Disagree        ,Agree        ,N/A,N/A,N/A,Agree        ,Disagree        ,Agree        ,Agree        ,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A
45-55,she/hers,Black/African American,Yes,Yes,Yes,Yes,20+ years,Less than 2 years,"My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Human Resources/disability office",,,During the interview/hiring process,Other,,During the interview/hiring process,,Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,N/A,N/A,N/A,Agree,Agree,N/A,N/A
25-35,she/hers,White,Yes,Yes,Unsure,Yes,5-10 years,2-5 years,"Library director ,Other",,,,,Other,,,Unsure,,,Agree,Neither agree nor disagree,N/A,N/A,Disagree,Agree,N/A,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Strongly agree        ,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A,Agree,Disagree,Disagree,Disagree,Disagree,Agree
45-55,she/hers,White,Yes,Yes,No,No,20+ years,20+ years,"My direct supervisor (if not library director),Library director ,Human Resources/disability office,I am open about my illness/disability with everyone",,,When my illness/disability impacted my work,,When my illness/disability impacted my work,Upon receiving a diagnosis or beginning treatment,Upon receiving a diagnosis or beginning treatment,No,,,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A,N/A,Disagree        ,Disagree        ,Disagree        ,Disagree        ,,Neither agree nor disagree      ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,N/A,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,No,Unsure,15-20 years,2-5 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Library director ,I am open about my illness/disability with everyone",,When my illness/disability impacted my work,When requesting accommodations,Other,When my illness/disability impacted my work,,Once I began working,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree        ,Disagree        ,Strongly agree        ,Disagree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
35-45,she/hers,White,No,,Yes,Yes,15-20 years,Less than 2 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Disagree        ,N/A,Strongly disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Unsure,Unsure,10-15 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,"When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,No,,,Agree,N/A,Agree,Disagree,Disagree,Agree,N/A,Neither agree nor disagree      ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Agree,N/A,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,5-10 years,2-5 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree        ,Agree        ,Neither agree nor disagree      ,N/A,Agree        ,N/A,N/A,Agree        ,Neither agree nor disagree      ,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,No,No,Yes,Yes,5-10 years,2-5 years,Colleagues I work with regularly,,As I built a personal relationship with colleagues,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,they/them,Other,Yes,Yes,Yes,Yes,15-20 years,5-10 years,"Colleagues I consider close friends,Other",Other,,,,,,,No,,,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,No,,10-15 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,Other","When my illness/disability impacted my work,As I built a personal relationship with colleagues",When my illness/disability impacted my work,,,,,,No,,,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree        ,Agree        ,Neither agree nor disagree      ,Strongly disagree        ,Neither agree nor disagree      ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither agree nor disagree,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,"Colleagues I work with regularly,Human Resources/disability office",,Once I began working,,,,When requesting accommodations,,Yes,No,"Work environment (furniture, office location, etc.)",Agree,Agree,Strongly agree,Strongly agree,N/A,Strongly agree,N/A,Strongly disagree        ,Agree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Disagree        ,Disagree        ,Strongly disagree        ,Disagree        ,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Yes,Yes,No,Yes,15-20 years,15-20 years,"Colleagues I work with regularly,Library director ",,Upon receiving a diagnosis or beginning treatment,,,Upon receiving a diagnosis or beginning treatment,,,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Disagree        ,Disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,N/A,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
45-55,he/his,Hispanic/Latinx,Yes,Yes,No,Yes,20+ years,2-5 years,"Colleagues I work with regularly,My direct supervisor (if not library director)",,Once I began working,Once I began working,,,,,Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
